Season,Episode,Title,Description,AirDate,Rating,Voters
16,3,Nanny Goats,"The Griffins get a nanny for the kids, giving Peter and Lois the opportunity to reconnect.",15 Oct. 2017,7.2,"(1,122)"
16,4,Follow the Money,Chris receives a special one-dollar bill for his birthday that gets passed throughout Quahog.,22 Oct. 2017,7.1,"(1,135)"
16,5,Three Directors,"The story of Peter's firing from the brewery, as told in the styles of Quentin Tarantino, Wes Anderson, and Michael Bay.",5 Nov. 2017,7.8,"(1,521)"
16,6,The D in Apartment 23,Brian gets kicked out of the house for posting an offensive tweet that goes viral.,12 Nov. 2017,8.1,"(1,609)"
16,7,Petey IV,"Vladimir Putin comes to Quahog after Peter writes to him. Meanwhile, strapped-for-cash Brian gets a job at a suicide hotline and pursues a coworker.",19 Nov. 2017,6.7,"(1,166)"
16,8,Crimes and Meg's Demeanor,Meg's drinking both concerns and delights Peter; Brian suspects Principal Shepherd of a crime.,3 Dec. 2017,7.4,"(1,026)"
16,9,Don't Be a Dickens at Christmas,"Peter is visited by the ghosts of Christmas past, present and future, who take him on a journey around Quahog.",10 Dec. 2017,7.0,"(1,019)"
16,10,Boy (Dog) Meets Girl (Dog),"Brian enters a dog show to breed with a female dog; Peter and Lois try to convince Chris that ""Arthur Valentine"" doesn't exist.",7 Jan. 2018,7.0,"(1,022)"
16,11,Dog Bites Bear,Stewie and Brian have a falling out; Peter refuses to wash his hand after meeting his favorite cereal mascot.,14 Jan. 2018,7.4,"(1,162)"
16,12,"Send in Stewie, Please",Stewie reveals secrets about himself in a session with his school psychologist.,18 Mar. 2018,6.1,"(2,288)"
16,13,V is for Mystery,Stewie and Brian become detectives and embark on solving a string of murders set in Victorian era London.,25 Mar. 2018,6.8,"(1,043)"
16,14,Veteran Guy,Peter and the guys get caught pretending to be military veterans and are sentenced to join the Coast Guard.,1 Apr. 2018,6.7,(939)
16,15,The Woof of Wall Street,Brian convinces Stewie to teach him how to invest in the stock market; Peter and the guys look after the Drunken Clam while Jerome is away.,8 Apr. 2018,7.2,(949)
16,16,'Family Guy' Through the Years,"The show looks back at the cultural events and issues that were tackled in the '50s, '60s and '70s.",22 Apr. 2018,6.7,(991)
16,17,Switch the Flip,Chaos ensues in Quahog when Stewie's body-swapping machine malfunctions.,29 Apr. 2018,7.9,"(1,139)"
16,18,HTTPete,"Peter adopts the millennial lifestyle, attracting the attention of a high-powered Silicon Valley executive.",6 May 2018,7.6,"(1,246)"
16,19,The Unkindest Cut,"Quagmire has a freak accident; Stewie and Brian search for Mort after learning there is a $10,000 reward for turning him into the police.",13 May 2018,6.6,(878)
