Season,Episode,Title,Description,AirDate,Rating,Voters
5,7,Two Turkeys,Jake and Amy bring their parents together for Thanksgiving.,21 Nov. 2017,8.0,"(2,338)"
5,8,Return to Skyfire,"When DC Parlov returns to the precinct to report his latest manuscript being stolen, Terry, Jake and Rosa go undercover at a fantasy convention to catch the culprit.",28 Nov. 2017,7.5,"(2,258)"
5,9,99,"Holt learns he's in the running to become Chief Commissioner of the NYPD when the squad is in LA for a funeral, but when they miss their flight back to New York, Jake tries to get Holt back in time for the interview.",5 Dec. 2017,8.7,"(2,885)"
5,10,Game Night,Jake helps Rosa break big news to her parents.,12 Dec. 2017,8.4,"(2,917)"
5,11,The Favor,"Holt owes Seamus Murphy a favor, so the precinct searches for a loophole that will allow the captain to keep his end of the bargain without breaking the law.",12 Dec. 2017,7.9,"(2,239)"
5,12,Safe House,"After Seamus threatens Kevin, Holt devises an elaborate plan to hide him in a safe house, with Jake as his guard. Kevin is miserable as the 99 works overtime to find Seamus and take him down.",18 Mar. 2018,8.6,"(2,619)"
5,13,The Negotiation,Jake runs into a familiar face when he's called in to negotiate a hostage situation with a jewel thief.,25 Mar. 2018,8.2,"(2,450)"
5,14,The Box,Jake and Holt spend all night trying to get a confession out of a suspect.,1 Apr. 2018,9.5,"(6,974)"
5,15,The Puzzle Master,Jake and Amy investigate a series of arsons connected to Amy's favorite crossword puzzle author.,8 Apr. 2018,7.6,"(2,226)"
5,16,NutriBoom,Jake and Charles get suckered into a pyramid scheme.,15 Apr. 2018,7.7,"(2,219)"
5,17,DFW,Jake meets his half-sister and she invites herself to stay.,15 Apr. 2018,7.7,"(2,376)"
5,18,Gray Star Mutual,Pimento shows up as the insurance agent when a fire destroys Charles' food truck.,22 Apr. 2018,7.9,"(2,189)"
5,19,Bachelor/ette Party,Charles plans a scavenger hunt for Jake's bachelor party; Amy's bachelorette party escalates when it's discovered she once slept with a member of her soon-to-be wedding band.,29 Apr. 2018,8.4,"(2,304)"
5,20,Show Me Going,The Nine-Nine fears for Rosa's safety when she responds to an active shooter alert.,6 May 2018,8.3,"(2,478)"
5,21,White Whale,Rosa and Amy track down a killer who's managed to elude them for seven years; Terry helps Jake with his wedding chores; Holt and his rival try to convince each other to resign from the campaign for Commissioner.,13 May 2018,7.9,"(2,131)"
5,22,Jake & Amy,The squad rushes to save Jake and Amy's wedding day from a major threat.,20 May 2018,9.1,"(3,505)"
6,1,Honeymoon,Jake and Amy go on their honeymoon; Gina and Charles get into a family squabble; Terry tries to live up to his new nickname.,10 Jan. 2019,8.3,"(3,054)"
6,2,Hitchcock & Scully,"Jake and Charles investigate a case of Hitchcock and Scully's from the 1980s; meanwhile, Amy's uniformed officers and Terry's detectives fight over limited resources.",17 Jan. 2019,8.7,"(3,268)"
6,3,The Tattler,"Jake and Gina attend their 20th high school reunion. Back at the Nine-Nine, Charles helps Rosa with her love life.",24 Jan. 2019,7.5,"(2,445)"
6,4,Four Movements,Gina plays a high-stakes game of chess with Capt. Holt; Rosa and Amy take Gina out for a fancy brunch; Jake and Gina must use their wits to infiltrate a posh club.,31 Jan. 2019,7.3,"(2,653)"
6,5,A Tale of Two Bandits,"Terry believes the Pontiac Bandit has gone back to stealing cars, but Jake tries to prove him wrong; the rest of the squad fight to keep Shaw's a police bar when some firemen stake a claim to it.",7 Feb. 2019,8.0,"(2,521)"
6,6,The Crime Scene,Jake and Rosa must deal with a mother in mourning when they work on a difficult murder case with confusing evidence.,14 Feb. 2019,8.4,"(2,694)"
6,7,The Honeypot,"Jake and Holt clash over the merits of a new hire in the 99th precinct. Terry, Amy, Rosa and Charles try to do something about the cluttered bullpen.",21 Feb. 2019,8.4,"(2,546)"
6,8,"He Said, She Said","Jake and Amy investigate a difficult ""he said, she said"" case of sexual assault. Holt becomes suspicious after learning his lifelong arch nemesis died in a prison transport accident.",28 Feb. 2019,7.0,"(4,159)"
6,9,The Golden Child,"Jake helps Amy navigate the complicated relationship she has with her brother, David. Charles introduces some drama into an undercover mission involving Terry and Holt.",7 Mar. 2019,8.0,"(2,406)"
6,10,Gintars,A visitor from Latvia causes Charles and Jake to investigate Nikolaj's family. Holt and Amy bring in famed forensic scientist Dr. Yee to help close a case for Rosa.,14 Mar. 2019,7.3,"(2,222)"
6,11,The Therapist,Charles gets Jake involved in a case where a therapist reports one of his patients missing; Holt learns that Rosa has a new girlfriend whom everyone else has met; Amy thinks she mistakenly received a package for Terry.,21 Mar. 2019,8.0,"(2,284)"
6,12,Casecation,Work is so busy for Jake and Amy that they end up celebrating their anniversary while standing guard over a comatose patient in the hospital.,11 Apr. 2019,7.5,"(2,477)"
6,13,The Bimbo,"Holt and Jake investigate a case at Kevin's university. Back at the precinct, Terry and Amy take the squad out for lunch.",18 Apr. 2019,7.8,"(2,151)"
6,14,Ticking Clocks,Jake and the squad must track down a hacker who has infiltrated the Nine-Nine's servers; Rosa deals with relationship issues; Hitchcock and Scully attempt to cook the perfect lasagna.,25 Apr. 2019,8.3,"(2,403)"
6,15,Return of the King,"When Gina returns to the Nine-Nine, Jake and Terry get drawn into her life. Holt learns that Charles' son, Nikolaj, may be a genius; Rosa copes with an injury.",2 May 2019,6.4,"(2,696)"
6,16,Cinco de Mayo,"In order to distract Terry from the stress of his upcoming lieutenant's exam, Jake, Holt and the squad decide to hold the annual Halloween Heist on a new date, Cinco de Mayo.",9 May 2019,9.0,"(3,198)"
6,17,Sicko,"Jake and Charles investigate a dangerous serial killer. Holt continues to spar with his rival, Commissioner Kelly. Terry tries to find a way to stay at the Nine-Nine.",16 May 2019,8.3,"(2,174)"
6,18,Suicide Squad,"Desperate circumstances call for desperate measures, as Jake, Holt, Amy, Terry, Rosa and Charles must ally themselves with old enemies.",16 May 2019,8.9,"(2,865)"
7,1,Manhunter,Jake leads a manhunt after an assassination attempt on a city councilor; Holt adjusts to his new position as a uniformed officer.,6 Feb. 2020,7.9,"(2,394)"
7,2,Captain Kim,The new captain of the Nine-Nine invites the squad over to her house for a dinner party.,6 Feb. 2020,8.2,"(2,268)"
7,3,Pimemento,Adrian Pimento shows up unexpectedly to seek Jake and Charles' help after claiming someone is trying to kill him; the rest of the squad endures a workplace conflict seminar.,13 Feb. 2020,8.5,"(2,458)"
7,4,The Jimmy Jab Games II,Competitive juices are flowing as Jake and the squad compete in the second Jimmy Jab Games.,20 Feb. 2020,7.8,"(2,142)"
7,5,Debbie,"When cocaine and weapons are stolen from the evidence lock-up, the squad must investigate the Nine-Nine itself.",27 Feb. 2020,7.2,"(2,267)"
7,6,Trying,Jake and Amy work an uncrackable case while Holt adjusts to a new beat. Hitchcock looks for the love of his life.,5 Mar. 2020,7.7,"(2,083)"
7,7,Ding Dong,Capt. Holt deals with a personal loss; Jake must decide whether to take Terry or Charles to an exclusive event.,12 Mar. 2020,8.6,"(2,406)"
7,8,The Takeback,"Doug Judy is back, and this time, things between him and Jake are personal; Amy and Charles try to find the perfect new vending machine for the Nine-Nine.",19 Mar. 2020,8.1,"(2,138)"
7,9,Dillman,"When a prank goes disastrously awry, things at the Nine-Nine take a distinctly Agatha Christie turn.",26 Mar. 2020,8.6,"(2,226)"
7,10,Admiral Peralta,Jake and his father deal with unsettled family business; Amy and Rosa work a high-profile case; Terry wants to join the NYPD band.,2 Apr. 2020,7.8,"(1,966)"
7,11,Valloweaster,The squad competes in an effort to determine who is the greatest human/genius.,9 Apr. 2020,8.2,"(2,167)"
7,12,Ransom,Holt asks for Jake's help in a case that is exceptionally meaningful to him. Charles and Terry work together on a side business.,16 Apr. 2020,8.7,"(2,312)"
7,13,Lights Out,The entire squad is on high alert when a massive blackout hits Brooklyn.,23 Apr. 2020,9.1,"(3,223)"
8,1,The Good Ones,Amy returns from maternity leave; Jake and Rosa work a difficult case.,12 Aug. 2021,4.9,"(5,903)"
8,2,The Lake House,The squad takes Capt. Holt up on an offer for a weekend getaway.,12 Aug. 2021,7.7,"(2,351)"
8,3,Blue Flu,Captain Holt and Amy manage an understaffed precinct; Jake and Charles investigate.,19 Aug. 2021,7.0,"(2,099)"
8,4,Balancing,Jake and Amy create a system to balance work and childcare; Rosa gets a new houseguest.,19 Aug. 2021,7.7,"(1,846)"
8,5,PB&J,Jake takes an old friend for a ride.,26 Aug. 2021,7.9,"(1,895)"
8,6,The Set Up,"When the FBI takes over a high-profile case, Jake keeps digging; Amy and Rosa negotiate with O'Sullivan and the police union.",26 Aug. 2021,6.7,"(1,965)"
8,7,Game of Boyles,"Terry, Jake and Charles visit the Boyle Family Farm; Amy and Rosa help out Capt. Holt.",2 Sep. 2021,8.0,"(1,707)"
8,8,Renewal,The squad comes together to work an important high-stakes case.,2 Sep. 2021,8.0,"(1,605)"
8,9,The Last Day Pt 1,The squad takes stock of their eight years together and look toward's their future.,16 Sep. 2021,9.3,"(2,707)"
8,10,The Last Day Pt 2,The squad takes stock of their eight years together and look towards their future.,16 Sep. 2021,9.5,"(3,581)"
