Season,Episode,Title,Description,AirDate,Rating,Voters
4,11,The Contest,George's mother throws her back out when she falls down after catching George performing a personal act; the gang partakes in a contest of self-denial.,18 Nov. 1992,9.5,"(7,739)"
4,12,The Airport,Jerry and Elaine fly back to New York. Jerry travels on first class while Elaine on coach. George and Kramer run into trouble while trying to arrive on time to pick up Jerry and Elaine at the airport.,25 Nov. 1992,8.9,"(3,987)"
4,13,The Pick,George has decided he's made a terrible mistake in breaking up with Susan. He moans and groans and is generally driving everybody crazy. Against everyone's advice he decides to tell her he made a mistake . No sooner are they back together than he decides he's the one who made the mistake. Elaine decides to put her picture on her Christmas cards and Kramer agrees to be the photographer. Only problem is that she exposes just a little too much of herself. Jerry meanwhile is dating the model he recently met on a flight and things seem to be going nicely....until she sees ...,16 Dec. 1992,8.5,"(3,263)"
4,14,The Movie,"Jerry does a set at a comedy club, then goes to meet George, Elaine, and Kramer afterward to see a screening of Checkmate. However, a simple miscommunication causes the four to keep missing each other at two different theaters.",6 Jan. 1993,8.1,"(3,119)"
4,15,The Visa,"Jerry returns from a two week tour to find that his old friend Babu, whom Jerry drove into bankruptcy by suggesting he change the menu in his restaurant, is working at the café. He's also living down the hall from Jerry, who is shocked to find that Babu is arrested for overstaying his visa. Turns out his visa application got mixed in with Jerry's mail. George meanwhile asks an attractive lawyer, Cheryl, to go out with him. She laughs at everything he says and he tells Jerry to butt out and not be funny. When they hear that Cheryl does immigration law, they ask her to ...",27 Jan. 1993,8.0,"(2,920)"
4,16,The Shoes,"Elaine can't seem to figure out why her shoes are a subject of conversation. Jerry and George pitch their pilot to NBC, but the deal is nearly jinxed when George takes a peek at the cleavage of the NBC president's daughter.",4 Feb. 1993,8.1,"(3,065)"
4,17,The Outing,A prank by Elaine leads a newspaper journalist to think that Jerry and George are gay.,11 Feb. 1993,9.4,"(5,417)"
4,18,The Old Man,"Elaine gets the gang to volunteer visiting the elderly, each ""adopting"" an old person. She gets freaked out by hers, George gets fired by his guy, and Jerry loses his. Kramer and Newman scheme to sell records to a vintage music store and steal the records from Jerry's old guy.",18 Feb. 1993,8.0,"(3,088)"
4,19,The Implant,"Elaine is adamant that the woman Jerry likes has implants. But when Elaine meets the woman in the sauna and trips and lands on her breasts, she isn't sure if they are implants after all...",25 Feb. 1993,8.6,"(3,307)"
4,20,The Junior Mint,"Elaine decides to visit her former boyfriend, who is in the hospital for a serious operation; Kramer and Jerry have an accident with a Junior Mint; Jerry had a date with a woman whose name rhymes with a female body part.",17 Mar. 1993,8.7,"(3,699)"
4,21,The Smelly Car,"After dinner, Jerry gets his car back from the valet. He and Elaine get in the car and realize that the valet has really bad B.O.. Jerry goes to great lengths to get the smell out of his car while Elaine goes to great lengths to get the smell out of her hair. Jerry soon realizes that the smell isn't just a mere odor, but an entity unto itself, and finally decides that he has to get rid of his car. Meanwhile, George gets reacquainted with Susan and discovers that he drove her to lesbianism, and Kramer dates Susan's girlfriend.",15 Apr. 1993,8.4,"(3,121)"
4,22,The Handicap Spot,"At Kramer's insistence, George parks his Dad's car in a handicap spot. After a woman is injured because of it, George becomes his Dad's butler while Kramer tries to help the woman.",13 May 1993,8.3,"(2,965)"
4,23,The Pilot,"""Jerry,"" the television pilot, gets cast and finally airs. Elaine tries to discourage Dalrymple's romantic pursuit.",20 May 1993,8.6,"(3,309)"
5,1,The Mango,Elaine makes a startling confession.,16 Sep. 1993,8.6,"(3,288)"
5,2,The Puffy Shirt,Kramer and his soft-spoken friend Leslie start a new line of clothing and Jerry accidentally agrees to wear it on the Today show.,23 Sep. 1993,8.9,"(3,958)"
5,3,The Glasses,George loses his glasses at the health club.,30 Sep. 1993,8.4,"(3,068)"
5,4,The Sniffing Accountant,The gang gets suspicious of their accountant.,7 Oct. 1993,8.1,"(2,969)"
5,5,The Bris,Elaine and Jerry are nervous about the religious duties they must do when they agree to become godparents to a couple's newborn; George nabs great parking spot.,14 Oct. 1993,8.1,"(3,149)"
5,6,The Lip Reader,George decides to use Jerry's girlfriend to spy on his friends by having her read their lips. Kramer claims he can also read lips and tries to prove it.,28 Oct. 1993,8.4,"(3,033)"
5,7,The Non-Fat Yogurt,Kramer invests in a new non-fat yogurt store.,4 Nov. 1993,8.4,"(3,283)"
5,8,The Barber,Jerry regrets giving his longtime barber the heave-ho after he gets a ridiculous-looking haircut. George gets a job interview but the boss leaves him with a very cryptic ending. Kramer begs Elaine to let him take part in her charity bachelor auction.,11 Nov. 1993,8.3,"(3,070)"
5,9,The Masseuse,"Jerry gets mad when he dates a masseuse. Kramer and George get massages while Jerry doesn't. Meanwhile, Elaine's new boyfriend is Joel Rifkin, an innocent man who shares the same name as one of New York's most notorious serial killers.",18 Nov. 1993,7.8,"(2,879)"
5,10,The Cigar Store Indian,"Jerry is deemed a racist when he purchases a Native American statue for Elaine. Kramer tries to get Elaine's company to publish his coffee table book. Elaine runs into a really creepy man on the subway who steals Frank's TV Guide and follows her to the Costanza's house. Meanwhile, George gets grounded when he has sex with a woman in his parents' bed.",9 Dec. 1993,8.4,"(3,145)"
5,11,The Conversion,George changes his religion to Latvian Orthodox to keep his girlfriend happy; Jerry becomes curious as to why his girlfriend needs fungus cream.,16 Dec. 1993,8.1,"(2,883)"
5,12,The Stall,"At a movie theater's restroom, Elaine, realizing she doesn't have any toilet paper left, asks the woman in the next stall (Jami Gertz) if she has any toilet paper to spare, but the woman refuses, claiming that she ""can't spare a square"". Elaine pleads with the woman, but she leaves, ignoring Elaine. The woman returns to her seat, and is revealed as Jerry's girlfriend, Jane. Elaine is shown returning to her seat, with her new boyfriend Tony (played by Dan Cortese). The two women tell their dates about what had just happened. At Jerry's apartment, Kramer walks in, ...",6 Jan. 1994,8.6,"(3,213)"
5,13,The Dinner Party,"En route to a dinner party, Jerry and Elaine stop off at a bakery and get held up when the bakery runs out of what they want to purchase. Meanwhile, George and Kramer, en route to said dinner party, stop off at a liquor store to buy a bottle of wine and have a hard time picking one out.",3 Feb. 1994,8.2,"(2,974)"
5,14,The Marine Biologist,"George starts dating a college friend who, thanks to Jerry, thinks George is now a marine biologist. Elaine's electronic organizer injures a person after being launched from a limo by a Russian novelist. Kramer decides to golf on the beach.",10 Feb. 1994,9.2,"(4,784)"
5,15,The Pie,"While shopping for a new suit for a job interview, George and the others stumble upon a mannequin which scarily resembles Elaine. Meanwhile Jerry tries to figure out why his girlfriend won't try his apple pie at Monks.",17 Feb. 1994,8.5,"(2,994)"
5,16,The Stand-In,"Kramer gets a job with Mickey as a TV stand-in. Jerry sets Elaine up with a guy who he says would be perfect for her. At the end of their first date he takes ""it"" out.",24 Feb. 1994,7.6,"(2,778)"
5,17,The Wife,"Jerry gets a permanent discount at his local dry cleaners after returning a locket he found in a jacket pocket. His new girlfriend Meryl also claims the discount claiming to be Jerry's wife. It all gets out of hand when Jerry's Uncle Leo hears he's married. Elaine thinks an airline pilot who goes to the same health club but her interest wanes quickly when he wipes the top of her water bottle before drinking from it. George is in trouble when the pilot sees him urinating in the shower at the same club. Kramer has had trouble sleeping at home but not, unfortunately at ...",17 Mar. 1994,8.0,"(2,876)"
5,18,The Raincoats,"Jerry and his latest girlfriend finally get alone time when they go on a date to see ""Schindler's List"", where Newman oversees them making out.",28 Apr. 1994,8.4,"(2,936)"
5,19,Episode #5.19,"Jerry pays for his parents Paris anniversary, George becomes a big brother in ""The Big Brother"" Organization, Elaine's odd new boyfriend Erin is a close-talker, Kramer makes a deal Selling vintage coats with Jerry's Father.",28 Apr. 1994,8.1,(185)
5,20,The Fire,"George dates a woman who has a son, and she invites him to the boy's birthday party. At the party, a fire breaks out in the kitchen and George screams ""FIRE!"" and knocks down the kids and an old lady as he makes his cowardly escape. The clown (not Bozo) puts out the fire with his big shoe. Meanwhile, at Pendant Publishing, Elaine learns that she's up for a very nice promotion; her main competition, Toby, is working with Kramer on his coffee-table book. The three head over to the comedy club where Jerry is doing an important set where a writer from Entertainment Weekly...",5 May 1994,8.6,"(3,200)"
5,21,The Hamptons,The gang goes to the Hamptons for the weekend to visit Elaine's friends' new baby.,12 May 1994,9.0,"(4,051)"
5,22,The Opposite,George decides to turn his life around by doing the exact opposite of what he would usually do. Elaine is having a lot of bad luck. Jerry keeps breaking even. Kramer gets the coffee table book published.,19 May 1994,9.5,"(5,823)"
6,1,The Chaperone,Jerry dates a Miss America contestant. Kramer tags along.,22 Sep. 1994,8.0,"(2,783)"
6,2,The Big Salad,"George gets upset when he buys a large salad for Elaine but his girlfriend Julie gets the thanks for it. Elaine can't believe that he raises the subject with her and gets back to Julie, which doesn't bode well with George. Jerry reassesses his feelings for his new girlfriend when he learns that she went out with Newman--and he dumped her. Kramer gets into an argument with his golfing partner, a former baseball player, who later loses his temper and is sought by the police. Kramer, sure that he caused it all, rushes to his buddy's aid.",29 Sep. 1994,8.1,"(2,911)"
