Season,Episode,Title,Description,AirDate,Rating,Voters
5,16,The Vacation Solution,"When the university forces Sheldon to use vacation days, he decides to hang out in Amy's lab. Howard becomes upset when he hears Bernadette wants him to sign a prenuptial agreement.",9 Feb. 2012,7.6,"(3,138)"
5,17,The Rothman Disintegration,Sheldon battles Kripke for a coveted office at the university. Penny receives a very unusual gift from Amy.,16 Feb. 2012,7.8,"(3,211)"
5,18,The Werewolf Transformation,"Sheldon wreaks havoc when he tries to get a haircut from his regular barber, who is ill. Howard runs into a few problems with astronaut training.",23 Feb. 2012,8.2,"(3,406)"
5,19,The Weekend Vortex,Sheldon has to choose between joining Amy at her aunt's birthday party or playing videogames all weekend with the guys.,8 Mar. 2012,8.1,"(3,243)"
5,20,The Transporter Malfunction,Raj gets quite a surprise when he asks his parents to set him up on a date. Penny buys Leonard and Sheldon a pair of Star Trek keepsake collectibles.,29 Mar. 2012,8.1,"(3,370)"
5,21,The Hawking Excitation,"Sheldon uses any and all means to meet his hero, Dr. Stephen Hawking.",5 Apr. 2012,8.6,"(3,760)"
5,22,The Stag Convergence,"The guys throw Howard a bachelor party, and some embarrassing details about his life get posted on the Internet.",26 Apr. 2012,7.7,"(3,214)"
5,23,The Launch Acceleration,"NASA cancel, and later reinstate Howard's mission into space, coinciding with his wedding. Leonard inadvertently jeopardizes his relationship with Penny.",3 May 2012,8.1,"(3,172)"
5,24,The Countdown Reflection,"As Howard prepares for his mission into space, flashbacks show the recent events leading up to his and Bernadette's wedding.",10 May 2012,8.5,"(3,615)"
6,1,The Date Night Variable,Raj crashes Sheldon and Amy's second anniversary and interferes in Leonard and Penny's relationship. Howard gets caught in the middle of an argument between Bernadette and his mother.,27 Sep. 2012,7.6,"(4,109)"
6,2,The Decoupling Fluctuation,"Penny continues to have doubts about her relationship with Leonard. Meanwhile, Howard becomes the target of practical jokes on the space station.",4 Oct. 2012,7.6,"(3,301)"
6,3,The Higgs Boson Observation,"When Sheldon hires a female grad student to assist him, a jealous Amy asks Penny to help her spy on them. On the space station, Howard begins behaving erratically.",11 Oct. 2012,8.0,"(3,314)"
6,4,The Re-Entry Minimization,Howard is offended when his return from space is met with little fanfare. Penny and Amy take on Sheldon and Leonard during game night.,18 Oct. 2012,8.2,"(3,530)"
6,5,The Holographic Excitation,"While Raj plans Stuart's Halloween party at the comic book store, Howard annoys the rest of the gang by constantly talking about space, and Penny tries to take more of an interest in Leonard's work.",25 Oct. 2012,8.0,"(3,276)"
