Season,Episode,Title,Description,AirDate,Rating,Voters
7,11,Marge Be Not Proud,Marge's relationship with Bart is strained when he is caught shoplifting before Christmas.,17 Dec. 1995,8.5,"(3,233)"
7,12,Team Homer,"Homer starts a bowling team with Moe, Apu and Otto, but Mr. Burns insists on joining after learning that the team was funded with his money; Springfield Elementary introduces uniforms.",7 Jan. 1996,8.3,"(2,543)"
7,13,Two Bad Neighbors,"Former President George Bush and his wife, Barbara, move into the Simpsons' neighborhood and soon clash with Bart and Homer.",14 Jan. 1996,8.5,"(3,279)"
7,14,Scenes from the Class Struggle in Springfield,"After buying a Chanel suit at a bargain price, Marge finds herself invited to a country club by a former schoolmate. Taken in by the opulence of the place, she is soon overcome by a desperation to fit in.",4 Feb. 1996,7.7,"(2,321)"
7,15,Bart the Fink,"Krusty the Clown is left almost broke after Bart inadvertently rats him out to the IRS, forcing Krusty to take drastic action.",11 Feb. 1996,7.7,"(2,287)"
7,16,Lisa the Iconoclast,Lisa may figure out what to do when she discovers that Springfield's founding father was actually a murderous thief while researching for an essay.,18 Feb. 1996,8.1,"(2,510)"
7,17,Homer the Smithers,"When Smithers is forced to take a vacation, he appoints Homer as his temporary replacement.",25 Feb. 1996,8.8,"(3,661)"
7,18,The Day the Violence Died,"Bart and Lisa meet a vagabond who claims to be the creator of Itchy from ""Itchy and Scratchy.""",17 Mar. 1996,8.0,"(2,456)"
7,19,A Fish Called Selma,Washed-up movie star Troy McClure starts dating Selma in an attempt to silence bizarre rumors about his personal life and resuscitate his career.,24 Mar. 1996,8.2,"(2,899)"
7,20,Bart on the Road,"Bart makes a fake driver's license and takes Milhouse, Martin and Nelson on a huge road trip; Lisa spends time with Homer at the power plant.",31 Mar. 1996,8.6,"(3,195)"
7,21,22 Short Films About Springfield,A series of vignettes highlights a day in the life of various Springfield residents.,14 Apr. 1996,8.9,"(3,540)"
7,22,Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',"One of Grampa's old war buddies dies, and it's revealed that Mr. Burns is the only other living member of his WWII squad and things go sour quickly.",28 Apr. 1996,8.5,"(2,669)"
7,23,Much Apu About Nothing,"Anti-immigration fever sweeps Springfield, which threatens to lead to the deportation of Apu, until Homer decides to reject the mob mentality and help him become a legal citizen.",5 May 1996,8.1,"(2,387)"
7,24,Homerpalooza,"In an attempt to prove to his kids that es a cool dad, Homer takes them to a music festival but ends up embarrassing them after being hired in a sideshow.",19 May 1996,7.9,"(2,499)"
7,25,"Summer of 4'2""","After realizing how unpopular she is, a disillusioned Lisa sees the vacation to Ned Flanders' beach house as an opportunity to reinvent herself.",19 May 1996,8.4,"(2,713)"
8,1,Treehouse of Horror VII,Bart's Siamese twin swells in the attic; Lisa's science experiment creates a miniature universe of advanced civilization; aliens possess Clinton and Dole.,27 Oct. 1996,8.4,"(2,955)"
8,2,You Only Move Twice,"After moving to another town for a new job, Homer must decide whether or not to stay when the family have a hard time with the transfer.",3 Nov. 1996,9.2,"(5,622)"
8,3,The Homer They Fall,Homer becomes a boxer after Moe discovers his amazing ability to take a punch.,10 Nov. 1996,8.1,"(2,565)"
8,4,"Burns, Baby Burns","The Simpsons try to reunite Mr. Burns with Larry, his slovenly long-lost son.",17 Nov. 1996,7.7,"(2,511)"
8,5,Bart After Dark,Marge leads a crusade against a local burlesque house after she discovers Bart working there.,24 Nov. 1996,8.3,"(2,637)"
8,6,A Milhouse Divided,Homer questions the state of his marriage after Luann Van Houten demands a divorce from Kirk.,1 Dec. 1996,8.1,"(2,484)"
8,7,Lisa's Date with Density,"Lisa develops a crush on Nelson, and tries to reform him; Homer gets an autodialer and decides to make easy money with a telemarketing scam.",15 Dec. 1996,7.8,"(2,414)"
8,8,Hurricane Neddy,"After a hurricane destroys Ned Flanders' house, he suffers a nervous breakdown and is forced to confront repressed problems from his childhood.",29 Dec. 1996,8.7,"(3,384)"
8,9,El Viaje Misterioso de Nuestro Jomer,"After eating insanity peppers at a chili cook-off, Homer has a hallucination of a talking coyote urging him to find his soulmate.",5 Jan. 1997,8.6,"(3,368)"
8,10,The Springfield Files,Special Agents Mulder and Scully arrive in Springfield after Homer claims to have seen an alien.,12 Jan. 1997,9.0,"(4,130)"
8,11,The Twisted World of Marge Simpson,"Marge enters the pretzel vending business, but when she fails, Homer recruits some help from the mob.",19 Jan. 1997,7.7,"(2,367)"
8,12,Mountain of Madness,Homer and Mr. Burns get trapped in a snowed-in cabin during a company retreat.,2 Feb. 1997,8.5,"(3,114)"
8,13,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,"Marge is stressed from motherhood and hires a British nanny to help out around the house, who struggles to teach Bart and Lisa how to behave.",7 Feb. 1997,7.7,"(2,645)"
8,14,The Itchy & Scratchy & Poochie Show,"Homer is cast as Poochie, a new ""Itchy and Scratchy"" character designed to reverse declining ratings; a hip college student moves in with the Simpsons.",7 Feb. 1997,7.9,"(2,571)"
8,15,Homer's Phobia,"After Marge befriends John, a gay store owner, Homer worries that his presence will have a negative effect on Bart's sexuality.",16 Feb. 1997,8.8,"(3,869)"
8,16,Brother from Another Series,Bart suspects a paroled Sideshow Bob is up to his old tricks when he is hired by his brother Cecil to assist in the construction of a dam.,23 Feb. 1997,8.2,"(2,600)"
8,17,"My Sister, My Sitter",Bart is outraged when Lisa becomes his babysitter.,2 Mar. 1997,7.9,"(2,734)"
8,18,Homer vs. the 18th Amendment,"After alcohol is banned in Springfield, Homer adopts the moniker of the ""Beer Baron"" to bootleg liquor, prompting an investigation from an uptight Treasury agent.",16 Mar. 1997,8.8,"(3,163)"
8,19,Grade School Confidential,"Bart discovers Principal Skinner and Mrs Krabappel kissing, and it's not long before the whole town knows of their secret affair.",6 Apr. 1997,8.2,"(2,761)"
8,20,The Canine Mutiny,"When the items Bart purchased with a fake credit card are repossessed, he claims that Santa's Little Helper is the dog he bought instead of his new pet, Laddie.",13 Apr. 1997,7.6,"(2,210)"
8,21,The Old Man and the Lisa,Burns loses his fortune and recruits Lisa to help him get it back.,20 Apr. 1997,7.9,"(2,333)"
8,22,In Marge We Trust,Marge becomes a church counselor; Homer discovers his face on a Japanese detergent logo.,27 Apr. 1997,8.1,"(2,416)"
